Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Dumpling Queen Restaurant FZCO,Intl City,Dubai,39398,04-3674558,,https://www.yellowpages-uae.com/uae/restaurant/dumpling-queen-restaurant-fzco-137988.html,
Dunes Cuisine,"Muhaisnah, Ghusais",Dubai,,04-2540022,,https://www.yellowpages-uae.com/uae/restaurant/dunes-cuisine-145484.html,
DUO,Jumeirah Beach Residence,Dubai,,04-4233785,,https://www.yellowpages-uae.com/uae/restaurant/duo-102775.html,
Dustys,DIFC,Dubai,,04-3545435,,https://www.yellowpages-uae.com/uae/restaurant/dustys-175828.html,
DXB Grill,Millennium Airport Hotel,Dubai,,04-7028888,,https://www.yellowpages-uae.com/uae/restaurant/dxb-grill-175829.html,
Dynasty Chinese Restaurant,"Ramada Hotel, Bur Dubai",Dubai,,04-3519999,,https://www.yellowpages-uae.com/uae/restaurant/dynasty-chinese-restaurant-143808.html,
E T Sushi,"Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road",Dubai,72127,04-3198088,,https://www.yellowpages-uae.com/uae/restaurant/e-t-sushi-149161.html,
Eagle Restaurant,"Near Abu Hail Pharmacy, Hor Al Anz, Deira",Dubai,10349,04-2694997,,https://www.yellowpages-uae.com/uae/restaurant/eagle-restaurant-115739.html,
Eastern Food Restaurant,Al Qusais,Dubai,235071,04-2671045,,https://www.yellowpages-uae.com/uae/restaurant/eastern-food-restaurant-150802.html,
Eat & Treat Restaurant LLC,Ras Al Khor,Dubai,29417,04-3334275,,https://www.yellowpages-uae.com/uae/restaurant/eat-treat-restaurant-llc-142816.html,
Eat and Drink Group of Restaurants,"Khaleefa Bin Din Bldg, Near Bus Station, Satwa",Dubai,65892,04-3496003,,https://www.yellowpages-uae.com/uae/restaurant/eat-and-drink-group-of-restaurants-107822.html,
Eat Greek,JBR,Dubai,,04-4305249,,https://www.yellowpages-uae.com/uae/restaurant/eat-greek-175754.html,
Eat Max Cafeteria,"Behind Emax, Salim Bin Omar Street",Sharjah,,06-5538706,055-9454476,https://www.yellowpages-uae.com/uae/restaurant/eat-max-cafeteria-175240.html,
Eat n Joy Restaurant & Cafeteria,"Behind BHS, Hamdan Street",Abu Dhabi,,02-6322216,050-1325032,https://www.yellowpages-uae.com/uae/restaurant/eat-n-joy-restaurant-cafeteria-175516.html,
Eat Route,"Opposite Tasheel, King Abdul Azizi Street",Sharjah,,06-5440676,056-2931779,https://www.yellowpages-uae.com/uae/restaurant/eat-route-175599.html,
Eataly,Dubai Mall,Dubai,,04-3308899,,https://www.yellowpages-uae.com/uae/restaurant/eataly-175755.html,
Eclipse Bar,"Intercontinental Hotel, Dubai Festival City",Dubai,,04-7011111,,https://www.yellowpages-uae.com/uae/restaurant/eclipse-bar-142734.html,
Elco Restaurants,"Shop 7, Al Arti Bldg, Zabeel Rd,",Dubai,115719,04-3972787,04-3972788,https://www.yellowpages-uae.com/uae/restaurant/elco-restaurants-175502.html,
Eldorado Restaurant,Electra St,Abu Dhabi,,02-6761848,,https://www.yellowpages-uae.com/uae/restaurant/eldorado-restaurant-145639.html,
Elevation Burger,"Latifa Tower, Near Crown Plaza, Shk Zayed Road",Dubai,,04-3880000,,https://www.yellowpages-uae.com/uae/restaurant/elevation-burger-175756.html,
Elia Greek Restaurant,"Majestic Hotel Tower, Bur Dubai",Dubai,,04-3598888,,https://www.yellowpages-uae.com/uae/restaurant/elia-greek-restaurant-175830.html,
Eloquent Elephant,"Taj Dubai, Business Bay",Dubai,,04-4383100,,https://www.yellowpages-uae.com/uae/restaurant/eloquent-elephant-175832.html,
Em Sherif,Downtown Dubai,Dubai,,04-4243000,,https://www.yellowpages-uae.com/uae/restaurant/em-sherif-175831.html,
Ember,"Dubai Mall, Downtown Dubai",Dubai,,04-4388999,,https://www.yellowpages-uae.com/uae/restaurant/ember-67699.html,
Emirates Restaurant,"Near Alico Aluminium Co, BMW Rd, Indl Area 2",Sharjah,36247,06-5338200,,https://www.yellowpages-uae.com/uae/restaurant/emirates-restaurant-136116.html,
Emly Chilli,Al Nahda 1,Dubai,,04-2837474,,https://www.yellowpages-uae.com/uae/restaurant/emly-chilli-68504.html,
Entrecote - Al Khaleej Palace Hotel,"Near Etisalat, Maktoum St, Deira",Dubai,3720,04-2231000,,https://www.yellowpages-uae.com/uae/restaurant/entrecote-al-khaleej-palace-hotel-111719.html,
Epicure,"Deser Palm Hotel, Al Awir Road",Dubai,,04-3238888,,https://www.yellowpages-uae.com/uae/restaurant/epicure-67381.html,
Ethio Habasha Restaurant,Muroor Rd,Abu Dhabi,,02-4436013,,https://www.yellowpages-uae.com/uae/restaurant/ethio-habasha-restaurant-145669.html,
Everest Restaurant,Al Esbij Street,Dubai,,04-3550707,056-7108378,https://www.yellowpages-uae.com/uae/restaurant/everest-restaurant-175582.html,
Exotic Restaurant,Karama,Dubai,123375,04-3965557,,https://www.yellowpages-uae.com/uae/restaurant/exotic-restaurant-117803.html,
Exzotica Restaurant,"Near Lotus Boutique Hotel, Al Baraha, Deira",Dubai,20058,04-2719196,,https://www.yellowpages-uae.com/uae/restaurant/exzotica-restaurant-62623.html,
Faaz Al Majaz Restaurant & Cafeteria,"Behind City Max Hotel, Near Big Bazar Hypermarket",Sharjah,,06-5220096,055-4667235,https://www.yellowpages-uae.com/uae/restaurant/faaz-al-majaz-restaurant-cafeteria-175362.html,
Fahid Restaurent,,Dubai,,04-2260871,,https://www.yellowpages-uae.com/uae/restaurant/fahid-restaurent-101154.html,
Fairways International,"The Westin Abu Dhabi Golf Resort & Spa, Khalifa City",Abu Dhabi,,02-6169999,,https://www.yellowpages-uae.com/uae/restaurant/fairways-international-175693.html,
Falafel and Shawarma Cafe,"Opp Centrepoint, Karama",Dubai,,04-3968301,056-7725454,https://www.yellowpages-uae.com/uae/restaurant/falafel-and-shawarma-cafe-175285.html,
Falafel Express Restaurant,Dubai Marina,Dubai,,04-4257711,,https://www.yellowpages-uae.com/uae/restaurant/falafel-express-restaurant-102779.html,
Falafel Zaman,"Behind Ramada Hotel, Al Barsha",Dubai,,04-4226131,052-6930185,https://www.yellowpages-uae.com/uae/restaurant/falafel-zaman-175579.html,
Falla Juice & Snacks,"Jumeirah St, Umm Suqeim 2",Dubai,,800-32552,,https://www.yellowpages-uae.com/uae/restaurant/falla-juice-snacks-146564.html,
Family Palace Restaurant LLC,"Opp Oasis Water, National Paints R/A, Kalba Rd",Sharjah,95368,06-5358335,,https://www.yellowpages-uae.com/uae/restaurant/family-palace-restaurant-llc-147689.html,
Famous Dave's,"Level 3, Abu Dhabi Mall",Abu Dhabi,,02-6587863,,https://www.yellowpages-uae.com/uae/restaurant/famous-daves-176396.html,
Fanr Restaurant,Saadiyat Island,Abu Dhabi,,02-6575888,,https://www.yellowpages-uae.com/uae/restaurant/fanr-restaurant-175694.html,
Fantastic Fresh Food Trading LLC,Hor Al Anz,Dubai,24269,04-2339114,,https://www.yellowpages-uae.com/uae/restaurant/fantastic-fresh-food-trading-llc-162938.html,
Fantastico Cafe LLC,"Mazaya Centre, Sh Zayed Rd",Dubai,114820,04-3434214,,https://www.yellowpages-uae.com/uae/restaurant/fantastico-cafe-llc-133560.html,
Fantasy Restaurant,Deira,Dubai,29134,04-2688288,,https://www.yellowpages-uae.com/uae/restaurant/fantasy-restaurant-135156.html,
Faragalla Cafe,Oud Metha Road,Dubai,,056-4334701,,https://www.yellowpages-uae.com/uae/restaurant/faragalla-cafe-175482.html,
Fareehan Refreshment,"Behind KM Trading, Salam Street",Abu Dhabi,,02-6774447,055-1100954,https://www.yellowpages-uae.com/uae/restaurant/fareehan-refreshment-175534.html,
Farhat Restaurant,Al Qasimiah,Sharjah,29373,06-5669660,,https://www.yellowpages-uae.com/uae/restaurant/farhat-restaurant-123527.html,
Fatah Sanobir Restaurant,"203, Dar Al Wuhaida building, Hor Al Anz, Deira",Dubai,50715,04-2692334,,https://www.yellowpages-uae.com/uae/restaurant/mam-electrical-contracting-establishment-26245.html,
FatBurger,"Ground Floor, Mall of the Emirates",Dubai,,04-3477913,,https://www.yellowpages-uae.com/uae/restaurant/fatburger-175757.html,
Fathima Trading and Catering Co,"Near ADCB, Airport Rd",Abu Dhabi,4710,02-4433490,,https://www.yellowpages-uae.com/uae/restaurant/fathima-trading-and-catering-co-111697.html,
Fatima House Restaurant,"Al Musalla Rd, Deira",Dubai,45763,04-3976720,,https://www.yellowpages-uae.com/uae/restaurant/fatima-house-restaurant-117964.html,
Feast,"Sheraton Grand Hotel, Shk Zayed Road",Dubai,,04-5034444,,https://www.yellowpages-uae.com/uae/restaurant/feast-175833.html,
Feri Kasif Theroom Restaurant,"Diamond 4 Bldg, Near Marina Mall, Dubai Marina",Dubai,,04-4572919,,https://www.yellowpages-uae.com/uae/restaurant/feri-kasif-theroom-restaurant-145697.html,
Fibber Magee's,"Bhnd Saeed Tower 1, Sh Zayed Rd",Dubai,115944,04-3322400,,https://www.yellowpages-uae.com/uae/restaurant/fibber-magee-s-113244.html,
Fiesta Restaurant,"Bhnd NMC Hospital, Al Nahda 2",Dubai,,04-2206444,050-2814455,https://www.yellowpages-uae.com/uae/restaurant/fiesta-restaurant-68501.html,
Filini,Radisson Blu Hotel,Abu Dhabi,,02-6562000,,https://www.yellowpages-uae.com/uae/restaurant/filini-175695.html,
Filli,Al Mamzar Corniche,Dubai,,04-2387169,055-7199280,https://www.yellowpages-uae.com/uae/restaurant/filli-175246.html,
Finz,"Beach Rotana, Al Zahiyah",Abu Dhabi,,02-6979350,,https://www.yellowpages-uae.com/uae/restaurant/finz-175736.html,
Firebird Dinner,"Four Seasons Hotel, DIFC",Dubai,,04-5060000,,https://www.yellowpages-uae.com/uae/restaurant/firebird-dinner-175834.html,
Fish Dubai,"Le Meridian, Mina Seyahi",Dubai,,04-5117139,,https://www.yellowpages-uae.com/uae/restaurant/fish-dubai-175835.html,
Fish Market Restaurant,Al Wahda St,Sharjah,,06-5397667,,https://www.yellowpages-uae.com/uae/restaurant/fish-market-restaurant-147654.html,
"Fish N Chips Room, The","Murjan Tower, Jumeirah Beach Res",Dubai,66413,04-4270443,,https://www.yellowpages-uae.com/uae/restaurant/fish-n-chips-room-the-175629.html,
Fish World,"3rd Flr, Food Court, Burjuman Centre, Bur Dubai",Dubai,26570,04-3514774,,https://www.yellowpages-uae.com/uae/restaurant/fish-world-126064.html,
Fishmarket - Inter-Continental Abu Dhabi,"Hotel Intercontinental Abu Dhabi, Khalidya",Abu Dhabi,4171,02-6666888,,https://www.yellowpages-uae.com/uae/restaurant/fishmarket-inter-continental-abu-dhabi-112379.html,
Five Guys Burger,Dubai Mall,Dubai,,04-3804117,,https://www.yellowpages-uae.com/uae/restaurant/five-guys-burger-175759.html,
Flame & Bake,Next To Hollywood Magic,Abu Dhabi,,600565564,02-6817747,https://www.yellowpages-uae.com/uae/restaurant/flame-bake-175522.html,
Flavours - Sheraton,"Near Corniche Hospital, Corniche Rd",Abu Dhabi,640,02-6773333,,https://www.yellowpages-uae.com/uae/restaurant/flavours-sheraton-111955.html,
Flooka,Dubai Marine Beach Resort,Dubai,,04-3461111,,https://www.yellowpages-uae.com/uae/restaurant/flooka-175837.html,
Food & Life Global Flavours,Bur Dubai,Dubai,116357,04-3599775,,https://www.yellowpages-uae.com/uae/restaurant/food-life-global-flavours-149738.html,
Food City Restaurant LLC,Al Muroor,Abu Dhabi,109770,02-4488640,,https://www.yellowpages-uae.com/uae/restaurant/food-city-restaurant-llc-143622.html,
Food Mountain Restaurant,"Behind Adnoc Petrol Station, Najda Street",Abu Dhabi,,056-2090767,,https://www.yellowpages-uae.com/uae/restaurant/food-mountain-restaurant-175572.html,
Food Palace Restaurant,Khalifa Str,Abu Dhabi,105912,02-6270080,,https://www.yellowpages-uae.com/uae/restaurant/food-palace-restaurant-131684.html,
Food Village Restaurant LLC,"Amman St, Al nahda 1",Dubai,237882,04-2398502,,https://www.yellowpages-uae.com/uae/restaurant/food-village-restaurant-llc-143860.html,
Foodlands Restaurant LLC,Airport Rd,Abu Dhabi,200,02-6330099,,https://www.yellowpages-uae.com/uae/restaurant/foodlands-restaurant-llc-104149.html,
Fort Kochi Restaurant,Next To EPPCO Petrol Station,Dubai,,04-2575020,055-3411011,https://www.yellowpages-uae.com/uae/restaurant/fort-kochi-restaurant-175324.html,
Fountain Cafe Restaurant,Shk Zayed Rd,Dubai,36853,04-3311502,,https://www.yellowpages-uae.com/uae/restaurant/fountain-cafe-restaurant-143449.html,
Four Friends Restaurants,"Opp ADCB, Meena Rd",Sharjah,70886,06-5628121,,https://www.yellowpages-uae.com/uae/restaurant/four-friends-restaurants-68582.html,
Four Season Restaurant,Al Barsha,Dubai,,04-3255444,,https://www.yellowpages-uae.com/uae/restaurant/four-season-restaurant-145580.html,
Francesco Pizzeria Restaurant,"G Flr, Al Khaleej Centre, Bur Dubai",Dubai,43383,04-3522766,,https://www.yellowpages-uae.com/uae/restaurant/francesco-pizzeria-restaurant-122720.html,
Frankies Italian Restaurant & Grill,Farimont Bab Al Bahr,Abu Dhabi,,02-6543333,,https://www.yellowpages-uae.com/uae/restaurant/frankies-italian-restaurant-grill-175698.html,
Fresh & Easy (The Barakat Shop),"Jumeirah Road, Opposite City Bank",Dubai,,04-2272528,,https://www.yellowpages-uae.com/uae/restaurant/fresh-easy-the-barakat-shop--175570.html,
Fresh & More Cafeteria & Grill,Khalifa 11,Abu Dhabi,,02-5521199,,https://www.yellowpages-uae.com/uae/restaurant/fresh-more-cafeteria-grill-145640.html,
Friday's,,Dubai,,600-523334,,https://www.yellowpages-uae.com/uae/restaurant/friday-s-150962.html,
Frutti Juice,Near Lighthouse Community Psychological Clinic,Dubai,,04-3284371,,https://www.yellowpages-uae.com/uae/restaurant/frutti-juice-175562.html,
Fusion Caffe LLC,,Abu Dhabi,62920,02-4058678,,https://www.yellowpages-uae.com/uae/restaurant/fusion-caffe-llc-164801.html,
Fusion of Flavors Restaurant,"Damascus St, Al Qusais",Dubai,,04-2678056,,https://www.yellowpages-uae.com/uae/restaurant/fusion-of-flavors-restaurant-142227.html,
Futue Stra Restaurant & Cafeteria,Al Nahda 1,Dubai,96703,04-2676986,,https://www.yellowpages-uae.com/uae/restaurant/futue-stra-restaurant-cafeteria-147205.html,
Future Star Restaurant,"Opp Buhari Masjid, Bhnd NMC , Al Nahda 1",Dubai,96703,04-2676986,055-3569068,https://www.yellowpages-uae.com/uae/restaurant/future-star-restaurant-175227.html,
Gafoorkas Thattukada Restaurant,"Opp Lulu Village, Near Emarat Petrol Station, Muhaisnah",Dubai,,04-2511713,050-7191166,https://www.yellowpages-uae.com/uae/restaurant/gafoorkas-thattukada-restaurant-177274.html,
Galito's,"E 278-279 - 2nd Floor Extension, Al Wahda Mall",Abu Dhabi,,02-6438221,050-1118971,https://www.yellowpages-uae.com/uae/restaurant/galito-s-176411.html,
Garden Side Refreshments,Behind Al Salama Hospital,Abu Dhabi,,02-6763626,055-9629197,https://www.yellowpages-uae.com/uae/restaurant/garden-side-refreshments-175548.html,
Gate of Karama Restaurant,Karama,Dubai,6319,04-3374222,,https://www.yellowpages-uae.com/uae/restaurant/gate-of-karama-restaurant-114413.html,
Gazebo Restaurant,DIFC,Dubai,281066,04-3585550,,https://www.yellowpages-uae.com/uae/restaurant/gazebo-restaurant-108463.html,
Geddy,Barsha,Dubai,,,,https://www.yellowpages-uae.com/uae/restaurant/geddy-103607.html,
Generous Vistors Restaurent,"Naif Rd, Deira",Dubai,,04-2712262,,https://www.yellowpages-uae.com/uae/restaurant/generous-vistors-restaurent-101156.html,
Genghis Grill,"Level 2, Al Wahda Mall Extension",Abu Dhabi,33779,02-6156039,,https://www.yellowpages-uae.com/uae/restaurant/genghis-grill-176383.html,
Ghoroob Al Shams Restaurant,Al Nahda 2,Dubai,,04-2206868,,https://www.yellowpages-uae.com/uae/restaurant/ghoroob-al-shams-restaurant-148055.html,
Ghuloom Shahdad Restaurant,Bur Dubai,Dubai,,04-3935186,055-8218959,https://www.yellowpages-uae.com/uae/restaurant/ghuloom-shahdad-restaurant-175838.html,
Gillys Restaurant,Behind Fresh & More Supermarket,Abu Dhabi,,02-6712050,050-8644909,https://www.yellowpages-uae.com/uae/restaurant/gillys-restaurant-175530.html,
Ginny's Restaurant and Confectionery,"9, Al Zara Bldg, Khalid Bin Walid St, Bur Dubai",Dubai,51043,04-3931876,,https://www.yellowpages-uae.com/uae/restaurant/ginny-s-restaurant-and-confectionery-114283.html,
Giornotte,"Ritz Carlton, Al Maqta",Abu Dhabi,,02-8188888,,https://www.yellowpages-uae.com/uae/restaurant/giornotte-175699.html,
Go Thai,"Talal Belhoul Building, Opp NMC Hosp, Bhnd Sahara Centre, Al Nahda",Dubai,20199,04-2506111,052-9866084,https://www.yellowpages-uae.com/uae/restaurant/go-thai-175291.html,
Goa Coastal Curries,"Near Dubai Islamic Bank, Karama",Dubai,,04-3795238,,https://www.yellowpages-uae.com/uae/restaurant/goa-coastal-curries-163102.html,
Golden Burger Restaurant and Internet Cafe,"Abraj Centre, Sabakha Bus Stand, Deira",Dubai,11311,04-2277941,,https://www.yellowpages-uae.com/uae/restaurant/golden-burger-restaurant-and-internet-cafe-145246.html,
Golden Chariot Confectionery,"Near Grand Hotel, Al Qusais",Dubai,48300,04-2582050,050-3988826,https://www.yellowpages-uae.com/uae/restaurant/golden-chariot-confectionery-175220.html,
Golden Crown Restaurant,Hamdan St,Abu Dhabi,73145,02-6772828,,https://www.yellowpages-uae.com/uae/restaurant/golden-crown-restaurant-116101.html,
Golden Dragon Restaurant,"Trade Centre Road, Karama",Dubai,2044,04-3967788,,https://www.yellowpages-uae.com/uae/restaurant/golden-dragon-restaurant-26199.html,
Golden Fork Group,"Al Owasis Bldg, Al Rigga Rd",Dubai,13951,04-2239233,,https://www.yellowpages-uae.com/uae/restaurant/golden-fork-group-117725.html,
Golden Jabal Al Noor Fast Food LLC,"Near Canadian Hosp, Mamzar Centre",Dubai,,04-2692979,050-5001349,https://www.yellowpages-uae.com/uae/restaurant/golden-jabal-al-noor-fast-food-llc-175309.html,
Golden Palace Mandi Restaurant,"Bhnd NMC Hosp, Al Nahda 2",Dubai,192078,04-2380049,058-8170900,https://www.yellowpages-uae.com/uae/restaurant/golden-palace-mandi-restaurant-175241.html,
Golden Seashell LLC,Satwa,Dubai,,04-3989920,,https://www.yellowpages-uae.com/uae/restaurant/golden-seashell-llc-147778.html,
Golden Spoon Vegetarian Restaurant,Madinat Zayed,Abu Dhabi,43750,02-6337155,,https://www.yellowpages-uae.com/uae/restaurant/golden-spoon-vegetarian-restaurant-115413.html,
Golestan Restaurant,Deira,Dubai,65653,04-2828007,,https://www.yellowpages-uae.com/uae/restaurant/golestan-restaurant-114452.html,
Govindas Garden Restaurant LLC,"Beach Road, Jumeirah",Dubai,30985,04-3211884,050-5649227,https://www.yellowpages-uae.com/uae/restaurant/govindas-garden-restaurant-llc-175558.html,
Govindas Restaurant (LLC),Karama,Dubai,30985,04-3960088,,https://www.yellowpages-uae.com/uae/restaurant/govindas-restaurant-llc--149530.html,
Grand Abu Shakra Rest and Cafe,"Al Maktoum St, Deira",Dubai,119943,04-2229900,,https://www.yellowpages-uae.com/uae/restaurant/grand-abu-shakra-rest-and-cafe-131182.html,
"Grand Buffet Restaurant, The",Al Wahda St,Sharjah,4561,06-5328000,,https://www.yellowpages-uae.com/uae/restaurant/grand-buffet-restaurant-the-130225.html,
Grand Cafe Boulevard,Downtown,Dubai,,04-4579944,,https://www.yellowpages-uae.com/uae/restaurant/grand-cafe-boulevard-167769.html,
Grand Central Restaurant,Muroor Street,Abu Dhabi,,02-6426499,,https://www.yellowpages-uae.com/uae/restaurant/grand-central-restaurant-175652.html,
Grand Restaurant,,Sharjah,,06-5652080,,https://www.yellowpages-uae.com/uae/restaurant/grand-restaurant-112183.html,
Grecian Grill Restaurant,,Dubai,500003,04-5531335,,https://www.yellowpages-uae.com/uae/restaurant/grecian-grill-restaurant-176018.html,
Green Chillies Restaurant,Discovery Gardens,Dubai,,04-4456789,,https://www.yellowpages-uae.com/uae/restaurant/green-chillies-restaurant-147693.html,
Green Lagoon Restaurant,"Opp Citymax, Barsha 1",Dubai,,04-3792440,050-8314900,https://www.yellowpages-uae.com/uae/restaurant/green-lagoon-restaurant-175353.html,
Green Leaf International Restaurant,"Al Noor Building, Behind Sahara Center",Dubai,,04-2560066,052-9264719,https://www.yellowpages-uae.com/uae/restaurant/green-leaf-international-restaurant-175287.html,
Green Leaf Restaurant,"Behind Emirates NBD, Near Colours Hyper Market",Abu Dhabi,,02-3048155,,https://www.yellowpages-uae.com/uae/restaurant/green-leaf-restaurant-175583.html,
Green Leaves Restaurant,Discovery Garden,Dubai,,04-8877866,,https://www.yellowpages-uae.com/uae/restaurant/green-leaves-restaurant-103551.html,
Green Pepper Restaurant,"Opp Enoc Staff Accomodation, Al Quoz Indl Area 2",Dubai,,04-3416003,055-3089030,https://www.yellowpages-uae.com/uae/restaurant/green-pepper-restaurant-175112.html,
